date,category,channel,ad_platform,campaign_name,ad_name,target_customer,audience_targeting,price,promotion_discount,distribution_index,holiday_flag,holiday_name,revenue,sales_volume,market_share,spend,impressions,clicks,add_to_carts,orders
2024-01-04,Cookware & Bakeware,TV,Rogers,Spring Cookwa 2024,Rogers - Cookwa Ad,Professional Designer,Keywords,378.28,0.01,0.99,0,,40071.2,107,0.09,298.99,688414,7992,848,381
2024-01-04,Cookware & Bakeware,Social,TikTok,Summer Cookwa 2024,TikTok - Cookwa Ad,Home Enthusiast,Broad,244.68,0.03,0.98,0,,25158.0,106,0.14,843.11,391814,6547,1449,796
2024-01-04,Kitchen Appliances,SEM,Bing,Spring Kitche 2024,Bing - Kitche Ad,DIY Decorator,Keywords,465.51,0.14,0.97,0,,39233.18,98,0.13,2830.26,212963,2777,661,347
2024-01-04,Tabletop & Dining,Direct,Direct Site,Spring Tablet 2024,Direct Site - Tablet Ad,Professional Designer,Retargeting,335.84,0.02,0.89,0,,27646.35,84,0.05,1318.17,519013,7381,2156,1136
2024-01-04,Storage & Organization,SEM,Bing,Summer Storag 2024,Bing - Storag Ad,DIY Decorator,Interests,313.72,0.23,0.93,0,,26088.96,108,0.14,2494.63,626254,12985,3510,1987
2024-01-04,Storage & Organization,SEO,Bing,Promo Storag 2024,Bing - Storag Ad,Home Enthusiast,Retargeting,291.38,0.17,0.8,0,,18863.94,78,0.15,1042.54,516233,9542,2476,1158
2024-01-04,Home Décor,Direct,Direct Site,Summer Home D 2024,Direct Site - Home D Ad,Home Enthusiast,Broad,364.24,0.12,0.93,0,,27245.15,85,0.19,1973.12,519663,14512,1501,688
2024-01-04,Home Décor,TV,Bell Media,Refresh Home D 2024,Bell Media - Home D Ad,DIY Decorator,Interests,244.53,0.13,0.83,0,,16381.06,77,0.2,1059.29,741996,20887,3369,1502
2024-01-04,Home Décor,Display,CTV,Spring Home D 2024,CTV - Home D Ad,DIY Decorator,Broad,107.9,0.18,0.78,0,,8316.93,94,0.17,2304.6,630780,13448,1615,708
2024-01-04,Bedding & Bath,Email,Klaviyo,Refresh Beddin 2024,Klaviyo - Beddin Ad,Home Enthusiast,Broad,148.04,0.24,0.87,0,,10238.45,91,0.19,466.21,915647,36728,4426,1781
2024-01-05,Cookware & Bakeware,Radio,Rogers,Promo Cookwa 2024,Rogers - Cookwa Ad,Professional Designer,Broad,483.27,0.06,0.96,0,,48153.02,106,0.07,289.5,520633,6749,1524,625
2024-01-05,Cookware & Bakeware,SEM,Bing,Spring Cookwa 2024,Bing - Cookwa Ad,Home Enthusiast,Keywords,285.67,0.1,0.88,0,,26224.51,102,0.17,2349.51,403855,11316,2133,1220
2024-01-05,Kitchen Appliances,Direct,Direct Site,Spring Kitche 2024,Direct Site - Kitche Ad,Home Enthusiast,Broad,143.35,0.02,0.77,0,,10114.78,72,0.16,553.94,433361,12142,2656,1217
2024-01-05,Kitchen Appliances,Display,CTV,Refresh Kitche 2024,CTV - Kitche Ad,DIY Decorator,Retargeting,49.52,0.06,0.78,0,,3258.42,70,0.21,1810.39,847956,40147,7428,3780
2024-01-05,Tabletop & Dining,SEM,Bing,Summer Tablet 2024,Bing - Tablet Ad,Home Enthusiast,Keywords,95.47,0.08,0.92,0,,7904.92,90,0.16,936.97,135394,3892,625,300
2024-01-05,Tabletop & Dining,Direct,Direct Site,Promo Tablet 2024,Direct Site - Tablet Ad,Home Enthusiast,Keywords,446.37,0.18,0.88,0,,27451.76,75,0.06,763.88,712053,30930,6651,3925
2024-01-05,Tabletop & Dining,Referring Domain,Design*Sponge,Spring Tablet 2024,Design*Sponge - Tablet Ad,Home Enthusiast,Retargeting,266.7,0.11,0.78,0,,22786.85,96,0.25,1364.07,858797,25479,3012,1414
2024-01-05,Storage & Organization,Email,Klaviyo,Summer Storag 2024,Klaviyo - Storag Ad,Professional Designer,Retargeting,351.43,0.07,0.98,0,,32029.33,98,0.21,1695.28,481919,6516,980,414
2024-01-05,Storage & Organization,TV,Bell Media,Promo Storag 2024,Bell Media - Storag Ad,Professional Designer,Keywords,105.98,0.09,0.93,0,,8583.32,89,0.18,2303.97,218446,4517,570,260
2024-01-05,Home Décor,Radio,Bell Media,Spring Home D 2024,Bell Media - Home D Ad,DIY Decorator,Broad,359.24,0.08,0.7,0,,30406.07,92,0.13,751.63,887277,41273,7936,3360
2024-01-05,Home Décor,SEM,Bing,Refresh Home D 2024,Bing - Home D Ad,DIY Decorator,Interests,216.51,0.12,0.84,0,,16004.42,84,0.14,519.46,204869,9603,1936,1114
2024-01-05,Home Décor,SEO,Bing,Promo Home D 2024,Bing - Home D Ad,Professional Designer,Interests,412.97,0.07,0.79,0,,28036.53,73,0.17,2996.82,518425,23127,4378,2175
2024-01-05,Bedding & Bath,Partnership/Affiliate,Honey,Promo Beddin 2024,Honey - Beddin Ad,Professional Designer,Broad,490.68,0.06,0.81,0,,38744.09,84,0.22,1291.25,338632,13473,3247,1825
2024-01-05,Bedding & Bath,TV,Bell Media,Promo Beddin 2024,Bell Media - Beddin Ad,Home Enthusiast,Broad,258.61,0.15,0.96,0,,16266.57,74,0.22,1376.89,556499,25831,2662,1141
2024-01-06,Cookware & Bakeware,SEM,Google,Promo Cookwa 2024,Google - Cookwa Ad,Professional Designer,Interests,317.28,0.1,0.72,0,,24271.92,85,0.12,2055.64,564543,14226,2323,1263
2024-01-06,Cookware & Bakeware,Radio,Bell Media,Spring Cookwa 2024,Bell Media - Cookwa Ad,Home Enthusiast,Interests,498.75,0.19,0.83,0,,29087.1,72,0.07,1937.87,919965,12898,1718,790
2024-01-06,Cookware & Bakeware,Social,Pinterest,Refresh Cookwa 2024,Pinterest - Cookwa Ad,Home Enthusiast,Interests,188.85,0.11,0.77,0,,13614.2,81,0.13,2077.22,193803,3255,376,215
2024-01-06,Kitchen Appliances,Referring Domain,FoodNetwork.ca,Promo Kitche 2024,FoodNetwork.ca - Kitche Ad,DIY Decorator,Broad,127.61,0.16,0.84,0,,8146.62,76,0.18,2706.83,492853,22695,5345,2306
2024-01-06,Kitchen Appliances,Radio,Rogers,Refresh Kitche 2024,Rogers - Kitche Ad,DIY Decorator,Retargeting,349.8,0.11,0.79,0,,23349.15,75,0.25,2574.67,116834,2276,487,250
2024-01-06,Kitchen Appliances,Direct,Direct Site,Promo Kitche 2024,Direct Site - Kitche Ad,Professional Designer,Keywords,289.48,0.17,0.92,0,,23065.77,96,0.06,1858.58,525856,22776,6390,3547
2024-01-06,Tabletop & Dining,eFlyers,RetailMeNot,Summer Tablet 2024,RetailMeNot - Tablet Ad,DIY Decorator,Broad,316.13,0.17,0.92,0,,19941.48,76,0.18,2531.18,663765,9217,2078,847
2024-01-06,Storage & Organization,Social,TikTok,Refresh Storag 2024,TikTok - Storag Ad,DIY Decorator,Broad,58.71,0.07,0.92,0,,4750.23,87,0.09,483.26,570610,25710,4452,2227
2024-01-06,Storage & Organization,Direct,Direct Site,Refresh Storag 2024,Direct Site - Storag Ad,Professional Designer,Interests,377.08,0.08,0.73,0,,26712.35,77,0.24,508.2,241574,10727,2626,1565
2024-01-06,Home Décor,Email,Klaviyo,Promo Home D 2024,Klaviyo - Home D Ad,Home Enthusiast,Interests,275.24,0.11,0.9,0,,22046.72,90,0.18,1795.22,867367,30827,5372,2873
2024-01-06,Home Décor,Radio,Bell Media,Refresh Home D 2024,Bell Media - Home D Ad,DIY Decorator,Broad,329.11,0.16,0.84,0,,24327.81,88,0.19,1982.79,127343,1985,574,264
2024-01-06,Home Décor,Radio,Bell Media,Spring Home D 2024,Bell Media - Home D Ad,Home Enthusiast,Broad,203.49,0.09,0.98,0,,19258.29,104,0.19,1666.56,620870,24642,3225,1557
2024-01-06,Bedding & Bath,Radio,Rogers,Refresh Beddin 2024,Rogers - Beddin Ad,Home Enthusiast,Interests,120.38,0.11,0.77,0,,10070.99,94,0.12,2944.69,390178,12399,3664,1728
2024-01-07,Cookware & Bakeware,Direct,Direct Site,Spring Cookwa 2024,Direct Site - Cookwa Ad,Professional Designer,Keywords,336.44,0.16,0.88,0,,23456.6,83,0.05,2381.7,260400,12903,3321,1464
2024-01-07,Cookware & Bakeware,Partnership/Affiliate,Rakuten,Summer Cookwa 2024,Rakuten - Cookwa Ad,Home Enthusiast,Interests,390.57,0.2,0.88,0,,25308.94,81,0.11,2953.68,141306,4466,1159,489
2024-01-07,Kitchen Appliances,SEM,Google,Refresh Kitche 2024,Google - Kitche Ad,Home Enthusiast,Interests,22.65,0.07,0.74,0,,1748.35,83,0.13,429.58,71645,2081,531,266
2024-01-07,Tabletop & Dining,Radio,Bell Media,Spring Tablet 2024,Bell Media - Tablet Ad,DIY Decorator,Interests,237.15,0.24,0.72,0,,13157.08,73,0.15,1264.69,724425,10372,2515,1229
2024-01-07,Storage & Organization,Email,Klaviyo,Spring Storag 2024,Klaviyo - Storag Ad,Home Enthusiast,Interests,317.79,0.15,0.91,0,,20529.23,76,0.13,1832.44,314222,8844,1955,820
2024-01-07,Home Décor,SEO,Google,Promo Home D 2024,Google - Home D Ad,Professional Designer,Broad,215.7,0.21,0.82,0,,16358.69,96,0.2,1006.39,332704,12178,2129,916
2024-01-07,Home Décor,Radio,Bell Media,Spring Home D 2024,Bell Media - Home D Ad,Home Enthusiast,Keywords,224.46,0.19,0.81,0,,13999.57,77,0.08,273.94,593866,19281,4511,2175
2024-01-07,Home Décor,Referring Domain,Design*Sponge,Spring Home D 2024,Design*Sponge - Home D Ad,Professional Designer,Interests,185.55,0.14,0.76,0,,14042.42,88,0.18,750.31,118475,2843,600,253
2024-01-07,Bedding & Bath,eFlyers,Flipp,Promo Beddin 2024,Flipp - Beddin Ad,DIY Decorator,Keywords,310.36,0.16,0.91,0,,24766.73,95,0.06,892.48,804444,17986,3021,1212
2024-01-07,Bedding & Bath,SEM,Bing,Spring Beddin 2024,Bing - Beddin Ad,Home Enthusiast,Keywords,59.5,0.13,0.81,0,,3675.32,71,0.14,556.49,331775,12894,3292,1690
2024-01-08,Cookware & Bakeware,Social,Pinterest,Summer Cookwa 2024,Pinterest - Cookwa Ad,DIY Decorator,Keywords,341.87,0.07,0.9,0,,29568.34,93,0.15,1381.93,291436,5427,1098,514
2024-01-08,Kitchen Appliances,Direct,Direct Site,Refresh Kitche 2024,Direct Site - Kitche Ad,Home Enthusiast,Broad,206.7,0.15,0.7,0,,10014.61,57,0.11,712.58,148901,6040,953,404
2024-01-08,Tabletop & Dining,TV,Bell Media,Summer Tablet 2024,Bell Media - Tablet Ad,Professional Designer,Broad,257.63,0.21,0.94,0,,19335.13,95,0.06,2599.12,49357,1354,259,107
2024-01-08,Tabletop & Dining,Email,Salesforce,Promo Tablet 2024,Salesforce - Tablet Ad,DIY Decorator,Retargeting,155.41,0.1,0.99,0,,14406.51,103,0.08,2848.08,487446,21097,5990,2501
2024-01-08,Storage & Organization,Display,CTV,Promo Storag 2024,CTV - Storag Ad,DIY Decorator,Keywords,206.95,0.08,0.8,0,,16373.88,86,0.12,587.58,540280,19087,3934,1726
2024-01-08,Home Décor,Email,Klaviyo,Summer Home D 2024,Klaviyo - Home D Ad,Home Enthusiast,Broad,139.14,0.04,0.75,0,,9350.21,70,0.2,318.52,815389,28634,5520,2830
2024-01-08,Home Décor,eFlyers,RetailMeNot,Refresh Home D 2024,RetailMeNot - Home D Ad,DIY Decorator,Interests,88.21,0.02,0.83,0,,7520.78,87,0.11,896.55,63900,1538,176,86
2024-01-08,Bedding & Bath,Social,Meta,Refresh Beddin 2024,Meta - Beddin Ad,Home Enthusiast,Keywords,313.28,0.13,0.84,0,,23984.72,88,0.16,2396.27,944394,10993,3097,1592
2024-01-09,Cookware & Bakeware,Email,Salesforce,Summer Cookwa 2024,Salesforce - Cookwa Ad,Home Enthusiast,Retargeting,65.2,0.22,0.8,0,,3356.5,66,0.19,1563.19,185941,2150,519,310
2024-01-09,Kitchen Appliances,Partnership/Affiliate,Rakuten,Refresh Kitche 2024,Rakuten - Kitche Ad,Professional Designer,Interests,202.9,0.19,0.9,0,,13640.97,83,0.06,1929.57,355905,4497,534,286
2024-01-09,Kitchen Appliances,Direct,Direct Site,Summer Kitche 2024,Direct Site - Kitche Ad,Professional Designer,Keywords,297.63,0.04,0.8,0,,26572.41,93,0.24,2125.59,415997,6305,1524,635
2024-01-09,Kitchen Appliances,Partnership/Affiliate,Honey,Refresh Kitche 2024,Honey - Kitche Ad,Home Enthusiast,Keywords,328.32,0.11,0.81,0,,26006.23,89,0.12,622.76,229597,5434,1376,603
2024-01-09,Tabletop & Dining,SEM,Google,Refresh Tablet 2024,Google - Tablet Ad,Home Enthusiast,Keywords,336.04,0.22,0.89,0,,23852.12,91,0.17,547.33,194630,8418,2140,1202
2024-01-09,Storage & Organization,Radio,Bell Media,Promo Storag 2024,Bell Media - Storag Ad,Professional Designer,Broad,485.25,0.15,0.93,0,,34234.39,83,0.21,778.61,255786,5724,1498,739
2024-01-09,Home Décor,Email,Salesforce,Promo Home D 2024,Salesforce - Home D Ad,Professional Designer,Retargeting,258.91,0.1,0.75,0,,16078.31,69,0.09,1853.52,920408,18408,4201,2414
2024-01-09,Bedding & Bath,SEO,Google,Refresh Beddin 2024,Google - Beddin Ad,Home Enthusiast,Broad,147.3,0.23,0.74,0,,8846.84,78,0.14,2844.6,237823,10147,2809,1646
2024-01-09,Bedding & Bath,TV,Bell Media,Promo Beddin 2024,Bell Media - Beddin Ad,DIY Decorator,Interests,129.35,0.25,0.81,0,,9313.2,96,0.06,2799.4,884940,34148,5704,2448
2024-01-09,Bedding & Bath,Social,Meta,Promo Beddin 2024,Meta - Beddin Ad,DIY Decorator,Broad,383.04,0.12,0.88,0,,28988.47,86,0.23,155.11,231130,10030,2103,1147
2024-01-10,Cookware & Bakeware,TV,Bell Media,Refresh Cookwa 2024,Bell Media - Cookwa Ad,Home Enthusiast,Interests,74.1,0.06,0.89,0,,5781.28,83,0.17,282.14,882330,40768,8942,3606
2024-01-10,Cookware & Bakeware,Partnership/Affiliate,Rakuten,Summer Cookwa 2024,Rakuten - Cookwa Ad,Professional Designer,Retargeting,15.76,0.09,0.87,0,,1405.48,98,0.09,2037.82,553913,27134,3080,1556
2024-01-10,Cookware & Bakeware,Partnership/Affiliate,Rakuten,Promo Cookwa 2024,Rakuten - Cookwa Ad,Professional Designer,Keywords,323.3,0.25,0.78,0,,16488.3,68,0.05,2386.71,366551,7200,1666,700
2024-01-10,Kitchen Appliances,Email,Klaviyo,Spring Kitche 2024,Klaviyo - Kitche Ad,Professional Designer,Interests,409.55,0.04,0.93,0,,44034.82,112,0.14,2116.63,667423,11540,1465,795
2024-01-10,Kitchen Appliances,Radio,Bell Media,Refresh Kitche 2024,Bell Media - Kitche Ad,Home Enthusiast,Keywords,398.69,0.22,0.79,0,,25189.23,81,0.11,1254.85,860015,27280,4110,2263
2024-01-10,Kitchen Appliances,Display,CTV,Refresh Kitche 2024,CTV - Kitche Ad,Home Enthusiast,Interests,147.51,0.2,0.83,0,,8496.58,72,0.13,1375.24,410426,9670,1328,715
2024-01-10,Tabletop & Dining,Partnership/Affiliate,Honey,Spring Tablet 2024,Honey - Tablet Ad,DIY Decorator,Retargeting,53.28,0.15,0.95,0,,4891.1,108,0.16,1031.51,88958,2056,327,159
2024-01-10,Tabletop & Dining,TV,Bell Media,Promo Tablet 2024,Bell Media - Tablet Ad,Professional Designer,Retargeting,35.54,0.22,0.81,0,,2384.02,86,0.25,896.21,834924,40006,4601,2427
2024-01-10,Storage & Organization,Partnership/Affiliate,Rakuten,Spring Storag 2024,Rakuten - Storag Ad,Home Enthusiast,Retargeting,31.88,0.02,0.93,0,,2780.57,89,0.12,1210.28,599799,6774,885,433
2024-01-10,Storage & Organization,Email,Salesforce,Promo Storag 2024,Salesforce - Storag Ad,Home Enthusiast,Broad,271.79,0.1,0.89,0,,23971.88,98,0.1,429.0,776411,13542,2756,1605
2024-01-10,Home Décor,Direct,Direct Site,Promo Home D 2024,Direct Site - Home D Ad,Home Enthusiast,Interests,351.58,0.25,0.76,0,,20040.06,76,0.08,314.75,186043,8548,1615,674
2024-01-10,Bedding & Bath,Email,Salesforce,Spring Beddin 2024,Salesforce - Beddin Ad,DIY Decorator,Interests,447.3,0.21,0.91,0,,35336.7,100,0.24,1949.33,837250,20478,2966,1770
2024-01-10,Bedding & Bath,SEM,Google,Promo Beddin 2024,Google - Beddin Ad,Home Enthusiast,Interests,283.7,0.09,0.94,0,,25816.7,100,0.16,1874.65,95403,1204,216,117
2024-01-10,Bedding & Bath,Radio,Rogers,Promo Beddin 2024,Rogers - Beddin Ad,DIY Decorator,Keywords,75.78,0.08,0.72,0,,5856.28,84,0.14,1600.34,139568,6297,1612,851
2024-01-11,Cookware & Bakeware,SEM,Bing,Spring Cookwa 2024,Bing - Cookwa Ad,Home Enthusiast,Broad,162.5,0.04,0.98,0,,14664.0,94,0.1,2847.7,549103,25147,6769,3046
2024-01-11,Kitchen Appliances,Partnership/Affiliate,Honey,Summer Kitche 2024,Honey - Kitche Ad,DIY Decorator,Interests,313.0,0.02,0.89,0,,27913.34,91,0.17,1783.87,184516,6707,1637,852
2024-01-11,Kitchen Appliances,eFlyers,Flipp,Spring Kitche 2024,Flipp - Kitche Ad,Home Enthusiast,Keywords,475.05,0.19,0.78,0,,29628.87,77,0.09,1759.2,653133,23225,4635,2435
2024-01-11,Kitchen Appliances,Direct,Direct Site,Promo Kitche 2024,Direct Site - Kitche Ad,Home Enthusiast,Retargeting,159.26,0.02,0.72,0,,10300.94,66,0.14,1504.33,218933,5168,665,380
2024-01-11,Tabletop & Dining,Email,Salesforce,Summer Tablet 2024,Salesforce - Tablet Ad,Professional Designer,Keywords,169.77,0.12,0.78,0,,7619.28,51,0.1,380.75,309309,14789,4034,1950
2024-01-11,Tabletop & Dining,SEM,Bing,Refresh Tablet 2024,Bing - Tablet Ad,Home Enthusiast,Broad,256.66,0.13,0.85,0,,21212.95,95,0.11,167.21,996148,25630,4906,2198
2024-01-11,Storage & Organization,Email,Klaviyo,Spring Storag 2024,Klaviyo - Storag Ad,Professional Designer,Retargeting,304.8,0.21,0.9,0,,18540.98,77,0.11,123.71,117718,3206,886,483
2024-01-11,Storage & Organization,TV,Rogers,Spring Storag 2024,Rogers - Storag Ad,Professional Designer,Keywords,291.59,0.05,0.87,0,,26316.0,95,0.06,1562.34,806535,25804,6839,3588
2024-01-11,Storage & Organization,eFlyers,Flipp,Summer Storag 2024,Flipp - Storag Ad,Home Enthusiast,Retargeting,196.0,0.25,0.87,0,,13230.0,90,0.12,518.38,636728,19334,3867,1581
2024-01-11,Home Décor,Email,Salesforce,Promo Home D 2024,Salesforce - Home D Ad,Home Enthusiast,Broad,174.06,0.15,0.75,0,,8285.26,56,0.25,2244.03,318769,10758,2167,1087
2024-01-11,Bedding & Bath,eFlyers,RetailMeNot,Promo Beddin 2024,RetailMeNot - Beddin Ad,Home Enthusiast,Interests,175.65,0.03,0.82,0,,14141.58,83,0.11,2706.42,919462,34499,3633,1798
2024-01-11,Bedding & Bath,Referring Domain,FoodNetwork.ca,Spring Beddin 2024,FoodNetwork.ca - Beddin Ad,DIY Decorator,Retargeting,97.7,0.16,0.89,0,,7304.05,89,0.22,528.55,718793,14151,3035,1639
2024-01-12,Cookware & Bakeware,Social,Meta,Refresh Cookwa 2024,Meta - Cookwa Ad,Professional Designer,Broad,215.29,0.05,0.85,0,,19225.4,94,0.17,1467.66,894587,35276,3967,1696
